Annual change in house prices in the UK 2007-2022,
monthYear,percentageChange
Jul '07,10.60
Jul '08,-4.70
Jul '09,-9.70
Jul '10,6.80
Jul '11,-2.10
Jul '12,0.50
Jul '13,2.30
Jul '14,8.70
Jul '15,5.50
Jul '16,7.50
Jul '17,4.46
Jul '18,2.88
Jul '19,0.62
Aug '19,0.63
Sep '19,0.90
Oct '19,0.74
Nov '19,0.81
Dec '19,0.90
Jan '20,1.59
Feb '20,1.26
Mar '20,2.46
Apr '20,0.69
May '20,1.07
Jun '20,2.02
Jul '20,1.75
Aug '20,2.41
Sep '20,3.43
Oct '20,4.58
Nov '20,6.02
Dec '20,6.99
Jan '21,7.65
Feb '21,8.23
Mar '21,8.95
Apr '21,8.64
May '21,8.54
Jun '21,13.20
Jul '21,7.15
Aug '21,9.11
Sep '21,11.74
Oct '21,8.95
Nov '21,9.71
Dec '22,8.99
Jan '22,9.54
Feb '22,10.27
Mar '22,9.37
Apr '22,12
May '22,12.81
Jun '22,7.80
